pl_name,gaia_id,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,ra,dec
KIC 10525077 b,Gaia DR2 2131059594280288128,1,854.083,0.01628,-0.01697,,,,5.5,0.9,-0.8,,,,89.861,0.096,-0.098,,,,0.25,,,,,,,,,287.3781164,47.7711541
KIC 3558849 b,Gaia DR2 2052136821446989568,1,1322.3,386.1,-11.2,,,,6.9,1,-0.9,,,,89.973,0.023,-0.031,,,,0.3969,,,,,,,,,294.9498381,38.6051867
KIC 5437945 b,Gaia DR2 2102070660978313472,2,440.7813,0.00563,-0.00577,,,,6.4,1.6,-1.6,,,,89.904,0.066,-0.086,,,,0.2209,,,,,,,,,288.4749028,40.6512848
KIC 8540376 b,Gaia DR2 2105414310196331264,3,31.8099,0.00919,-0.00933,,,,4.1,2.2,-1.9,,,,89.3,0.49,-0.72,,,,0.09,,,,,,,,,282.3775397,44.694569
KIC 8540376 c,Gaia DR2 2105414310196331264,3,75.2,38.9,-1.1,,,,2.4,1.9,-1.4,,,,89.701,0.16,-0.16,,,,0.0324,,,,,,,,,282.3775397,44.694569
KIC 9663113 b,Gaia DR2 2080266967444876032,2,572.3847,0.00583,-0.00567,,,,4.6,0.6,-0.7,,,,89.768,0.095,-0.062,,,,0.1681,,,,,,,,,297.0454037,46.3286653
Kepler-105 b,Gaia DR2 2130368310704421120,2,5.4122,0.00002,-0.00002,0.066,0.003,-0.003,4.81,1.53,-1.53,0.47,0.05,-0.47,85.94,1.87,-3.88,0.64,0.26,-0.17,0.06,0.0006,-0.0006,272.16,16.04,-272.16,,,,287.8872376,46.2761224
Kepler-1052 c,Gaia DR2 2080466185207274880,2,180.921729,0.002826,-0.002826,0.6135,,,2.3,0.54,-0.19,0,,,89.99,,,0.025,0.42,-0.025,0.07424,0.00504,-0.00504,,,,,,,295.34273,46.6022134
Kepler-1126 c,Gaia DR2 2106496607595412480,2,199.66876,0.003961,-0.003961,0.6193,,,1.45,0.18,-0.18,0,,,89.98,,,0.046,0.42,-0.046,0.02519,0.00197,-0.00197,,,,,,,285.691955,45.6893993
Kepler-1162 c,Gaia DR2 2106996095111385728,2,59.284064,0.0006992,-0.0006992,0.2832,,,1.81,0.13,-0.11,0,,,89.55,,,0.556,0.384,-0.346,0.04244,0.00357,-0.00357,,,,,,,283.2920273,45.4339813
Kepler-1181 c,Gaia DR2 2101035367703145088,2,8.93484887,0.00009707,-0.00009707,0.0928,,,1.83,0.64,-0.23,0,,,86.05,,,0.888,0.096,-0.667,0.01359,0.00165,-0.00165,,,,,,,289.7473165,39.5234131
Kepler-1471 c,Gaia DR2 2133035966431029376,2,11.6044881,0.000113,-0.000113,0.0981,,,1.88,0.28,-0.34,0,,,89.74,,,0.118,0.334,-0.118,0.02676,0.00203,-0.00203,,,,,,,289.6649171,50.0200612
Kepler-1487 c,Gaia DR2 2073153024144692736,2,35.8007112,0.0003713,-0.0003713,0.2588,,,7.97,1.39,-2.77,0,,,89.93,,,0.043,0.402,-0.043,0.04174,0.00175,-0.00175,,,,,,,295.4980737,38.6444499
Kepler-1491 c,Gaia DR2 2127985806448631808,2,61.569765,0.001804,-0.001804,0.3045,,,2.44,0.39,-0.53,0,,,89.35,,,0.486,0.074,-0.409,0.02983,0.00309,-0.00309,,,,,,,293.6297645,45.7406293
Kepler-15 b,Gaia DR2 2134850847813263360,1,4.942782,0.0000013,-0.0000013,0.05714,0.00086,-0.00093,10.76,0.67,-0.78,0.06,,,87.44,0.18,-0.2,0.554,0.023,-0.024,1.1265,,,,,,78.7,8.5,-9.5,296.2005506,49.1400304
Kepler-1514 b,Gaia DR2 2051866238502437632,2,217.83184,0.00012,-0.00012,0.753,0.013,-0.014,12.42,0.258,-0.258,0.401,0.013,-0.014,89.944,0.013,-0.01,0.169,0.03,-0.039,0.7805,0.0025,-0.0027,-75.28,0.75,-0.71,172.5,3.9,-3.9,292.6274943,37.8601653
Kepler-1514 c,Gaia DR2 2051866238502437632,2,10.514181,0.000039,-0.000039,0.0997,0.0018,-0.0018,1.176,0.057,-0.044,0.32,0.35,-0.19,87.98,1.2,-0.4,0.47,0.22,-0.31,0.00699,0.00063,-0.00043,0,120,-160,,,,292.6274943,37.8601653
Kepler-1518 c,Gaia DR2 2082161219824397568,2,9.6310258,0.0001257,-0.0001257,0.0905,,,2.9,0.82,-0.68,0,,,79.56,,,0.951,0.027,-0.65,0.02972,0.00251,-0.00251,,,,,,,300.3323404,44.9861065
Kepler-1610 c,Gaia DR2 2079807646464016256,2,44.9851885,0.0004873,-0.0004873,0.2323,,,2.09,0.35,-0.21,0,,,89.41,,,0.664,0.273,-0.433,0.06178,0.00511,-0.00511,,,,,,,295.9049795,45.4054296
Kepler-164 e,Gaia DR2 2130889204338693504,4,94.886902,0.001216,-0.001216,0.4025,,,4.24,0.69,-0.56,0,,,88.37,,,0.982,40.039,-0.023,0.06417,0.00296,-0.00296,,,,,,,287.7808115,47.6298453
Kepler-1652 b,Gaia DR2 2135055391335687680,1,38.09722,0.00021,-0.00021,0.1654,0.0042,-0.0075,1.6,0.18,-0.18,,,,89.993,0.004,-0.143,0.011,0.233,-0.011,0.0977,0.0063,-0.0063,,,,,,,294.3660313,49.9150219
Kepler-1654 b,Gaia DR2 2105415302330571008,1,1047.8356,0.0018,-0.0019,2.026,0.037,-0.035,9.18,0.213,-0.191,0.26,0.21,-0.11,89.982,0.012,-0.017,0.114,0.11,-0.079,0.5096,0.0047,-0.0045,81,73,-71,2.7,3.2,-3.3,282.1856949,44.4344617
Kepler-1669 d,Gaia DR2 2073652546016392448,3,4.72941177,0.00003075,-0.00003075,0.0468,,,1.22,0.05,-0.06,0,,,89.16,,,0.236,0.234,-0.236,0.04343,0.00337,-0.00337,,,,,,,297.4303826,39.8478795
Kepler-1801 c,Gaia DR2 2076185408488670208,2,116.583183,0.002231,-0.002231,0.4572,,,2.91,0.83,-0.42,0,,,89.74,,,0.586,0.006,-0.492,0.0819,0.0102,-0.0102,,,,,,,295.1640095,39.2014024
Kepler-1814 c,Gaia DR2 2103845032226500352,2,0.62628177,0.00000104,-0.00000104,0.0133,,,1.76,0.13,-0.18,0,,,81.02,,,0.553,0.039,-0.467,0.04331,0.00165,-0.00165,,,,,,,285.2166767,41.2824449
Kepler-1834 c,Gaia DR2 2076454445237794432,2,0.76669152,0.00000127,-0.00000127,0.015,,,1.22,0.05,-0.08,0,,,84.94,,,0.388,0.053,-0.388,0.0244,0.00101,-0.00101,,,,,,,294.6646789,39.7838461
Kepler-1859 c,Gaia DR2 2128198974266072192,2,3.59645081,0.00003644,-0.00003644,0.0473,,,1.66,0.29,-0.23,0,,,83.31,,,0.781,0.176,-0.545,0.01496,0.00111,-0.00111,,,,,,,293.9886751,46.7179996
Kepler-1869 c,Gaia DR2 2125751461382627840,2,1.7168283,0.00000941,-0.00000941,0.028,,,0.74,0.12,-0.03,0,,,81.38,,,0.7,0.276,-0.475,0.00595,0.0005,-0.0005,,,,,,,292.6149958,42.7643438
Kepler-1894 c,Gaia DR2 2134931077802625792,2,5.05368985,0.00005076,-0.00005076,0.0576,,,1.21,0.37,-0.11,0,,,87.71,,,0.53,0.428,-0.314,0.01715,0.00176,-0.00176,,,,,,,295.5864604,49.6668523
Kepler-1921 c,Gaia DR2 2085204015173031552,2,3.15722086,0.00001947,-0.00001947,0.0454,,,1.41,0.33,-0.57,0,,,89.99,,,0.001,0.455,-0.001,0.00497,0.00032,-0.00032,,,,,,,300.3161723,45.4953271
Kepler-1977 b,Gaia DR2 2051027792165858304,1,4.53702121,0.00002498,-0.00002498,0.0486,,,1.66,0.19,-0.11,0,,,87.14,,,0.706,0.058,-0.491,0.05044,0.00365,-0.00365,,,,,,,290.6178587,37.2891002
Kepler-1978 b,Gaia DR2 2099854801450635520,1,10.84969477,0.00002777,-0.00002777,0.0914,,,2.67,0.38,-0.21,0,,,88.49,,,0.55,0.28,-0.347,0.11221,0.00275,-0.00275,,,,,,,286.0067312,38.0095407
Kepler-1979 b,Gaia DR2 2051368434612892800,1,18.5084526,0.0001311,-0.0001311,0.1383,,,29.33,8.82,-2.94,0,,,77.63,,,1.258,71.799,-2.217,0.07589,0.00287,-0.00287,,,,,,,289.8429062,38.309622
Kepler-1980 b,Gaia DR2 2052139123549626240,1,33.0257179,0.0006181,-0.0006181,0.2049,,,2.21,0.36,-0.12,0,,,89.94,,,0.044,0.413,-0.044,0.05071,0.00472,-0.00472,,,,,,,295.1672065,38.637039
Kepler-1981 b,Gaia DR2 2099583977992504576,1,453.54212,0.003501,-0.003501,1.3292,,,9.23,1.76,-4.1,0,,,89.78,,,0.633,0.219,-0.405,0.0861,0.00186,-0.00186,,,,,,,287.9754691,38.7402988
Kepler-1982 b,Gaia DR2 2100524610190045312,1,3.82315697,0.00004481,-0.00004481,0.0511,,,0.77,0.14,-0.04,0,,,89.7,,,0.064,0.391,-0.064,0.00472,0.00066,-0.00066,,,,,,,287.4099905,39.6586267
Kepler-1983 b,Gaia DR2 2073697660354300544,1,7.32851947,0.00002311,-0.00002311,0.0689,,,2.33,0.13,-0.18,0,,,85.76,,,0.983,0.079,-0.771,0.02778,0.00276,-0.00276,,,,,,,297.042015,39.9121864
Kepler-1984 b,Gaia DR2 2101508501301083520,1,1.99281234,0.00000783,-0.00000783,0.0238,,,6.81,0.75,-0.9,0,,,55.11,,,1.127,15.761,-0.104,0.03148,0.00228,-0.00228,,,,,,,291.2850446,40.7300225
Kepler-1985 b,Gaia DR2 2077726678964445696,1,3.42064689,0.00001928,-0.00001928,0.0426,,,2.27,0.25,-0.22,0,,,82.03,,,0.92,0.021,-0.63,0.03568,0.00304,-0.00304,,,,,,,293.5663715,42.1325825
Kepler-1986 b,Gaia DR2 2125848733801094912,1,19.5489666,0.0001396,-0.0001396,0.1307,,,1.89,0.35,-0.15,0,,,89.05,,,0.83,0.001,-0.585,0.05238,0.00497,-0.00497,,,,,,,292.9582727,42.8548909
Kepler-1987 b,Gaia DR2 2078000289864478976,4,2.345863,0.00000955,-0.00000955,0.0318,,,1.23,0.11,-0.09,0,,,89.81,,,0.035,0.438,-0.035,0.03167,0.00184,-0.00184,,,,,,,295.8254663,42.9433716
Kepler-1987 c,Gaia DR2 2078000289864478976,4,3.64830183,0.00001621,-0.00001621,0.0427,,,1.33,0.12,-0.09,0,,,89.75,,,0.063,0.396,-0.062,0.03717,0.0021,-0.0021,,,,,,,295.8254663,42.9433716
Kepler-1987 d,Gaia DR2 2078000289864478976,4,5.64491415,0.00000878,-0.00000878,0.0571,,,2.66,0.25,-0.18,0,,,88.57,,,0.445,0.037,-0.445,0.13979,0.00244,-0.00244,,,,,,,295.8254663,42.9433716
Kepler-1987 e,Gaia DR2 2078000289864478976,4,8.74292005,0.00003311,-0.00003311,0.0765,,,1.92,0.18,-0.13,0,,,89.95,,,0.025,0.416,-0.025,0.07795,0.00282,-0.00282,,,,,,,295.8254663,42.9433716
Kepler-1988 b,Gaia DR2 2078996821055736960,1,11.49500229,0.00008821,-0.00008821,0.1038,,,1.53,0.3,-0.49,0,,,79.67,,,0.911,0.051,-0.613,0.00514,0.00024,-0.00024,,,,,,,298.6738034,43.7955099
Kepler-1989 b,Gaia DR2 2126119862195142272,1,10.16102353,0.00000918,-0.00000918,0.0918,,,4.62,1.37,-0.73,0,,,87.78,,,0.716,0.053,-0.501,0.16539,0.00167,-0.00167,,,,,,,290.7351869,44.091262
Kepler-1990 b,Gaia DR2 2076121602454770560,2,1.73513619,0.00000028,-0.00000028,0.0286,,,3.27,0.54,-0.33,0,,,89.57,,,0.045,0.192,-0.045,0.09526,0.00023,-0.00023,,,,,,,299.7047433,44.4357068
Kepler-1990 c,Gaia DR2 2076121602454770560,2,4.06844957,0.00001212,-0.00001212,0.0504,,,0.98,0.17,-0.1,0,,,86.61,,,0.55,0.377,-0.337,0.00798,0.0003,-0.0003,,,,,,,299.7047433,44.4357068
Kepler-1991 b,Gaia DR2 2106371744306291328,2,13.26079792,0.00009795,-0.00009795,0.1065,,,1.47,0.2,-0.21,0,,,89.51,,,0.22,0.25,-0.22,0.01994,0.00124,-0.00124,,,,,,,285.0360506,45.0709909
Kepler-1991 c,Gaia DR2 2106371744306291328,2,22.79020351,0.00006878,-0.00006878,0.1528,,,2.57,0.36,-0.36,0,,,89.94,,,0.036,0.415,-0.036,0.06179,0.00139,-0.00139,,,,,,,285.0360506,45.0709909
Kepler-1992 b,Gaia DR2 2079880695265507328,1,15.6112238,0.0001275,-0.0001275,0.1169,,,0.91,0.09,-0.05,0,,,89.03,,,0.468,0.489,-0.26,0.01135,0.00081,-0.00081,,,,,,,295.0902409,45.0811045
Kepler-1993 b,Gaia DR2 2127956360152391168,1,26.6565737,0.0002052,-0.0002052,0.1943,,,4.15,1.28,-2.98,0,,,88.72,,,0.686,0.242,-0.48,0.01634,0.00094,-0.00094,,,,,,,293.7968548,45.1607261
Kepler-1994 b,Gaia DR2 2080271674728481280,1,4.61225043,0.00003445,-0.00003445,0.053,,,0.51,0.06,-0.05,0,,,89.95,,,0.012,0.44,-0.012,0.00291,0.00024,-0.00024,,,,,,,297.1487941,46.2969247
Kepler-1995 b,Gaia DR2 2107244481660894592,1,73.7578875,0.0004304,-0.0004304,0.3259,,,4.28,2.21,-0.66,0,,,89.74,,,0.714,0.205,-0.487,0.18369,0.00988,-0.00988,,,,,,,284.342725,46.3165907
Kepler-1996 b,Gaia DR2 2107311719368903680,2,32.376183,0.0001311,-0.0001311,0.1789,,,2.26,0.16,-0.07,0,,,88.18,,,0.896,0.009,-0.61,0.07454,0.00241,-0.00241,,,,,,,285.2537555,46.5822183
Kepler-1996 c,Gaia DR2 2107311719368903680,2,92.7297248,0.000398,-0.000398,0.3608,,,2.81,0.2,-0.08,0,,,89.19,,,0.857,0.056,-0.597,0.12575,0.00319,-0.00319,,,,,,,285.2537555,46.5822183
Kepler-1997 b,Gaia DR2 2080296757338392576,1,26.7575866,0.0002942,-0.0002942,0.1815,,,2.28,0.72,-0.28,0,,,89.29,,,0.407,0.058,-0.407,0.04553,0.00298,-0.00298,,,,,,,297.4808253,46.5891373
Kepler-1998 b,Gaia DR2 2107658516506930048,1,3.03267135,0.00001374,-0.00001374,0.0405,,,0.6,0.08,-0.04,0,,,88.93,,,0.238,0.232,-0.238,0.00424,0.00032,-0.00032,,,,,,,283.4291536,47.5923973
Kepler-1999 b,Gaia DR2 2119710538336363904,1,8.7396758,0.0003092,-0.0003092,0.0713,,,3.29,0.26,-0.3,0,,,82.59,,,0.957,0.001,-0.68,0.1431,0.0107,-0.0107,,,,,,,282.3705675,48.259234
Kepler-2000 b,Gaia DR2 2132144056342471168,2,6.38315913,0.0000064,-0.0000064,0.0562,,,2.73,0.1,-0.17,0,,,89.61,,,0.197,0.237,-0.197,0.23132,0.00408,-0.00408,,,,,,,285.5743032,49.9621218
Kepler-2000 c,Gaia DR2 2132144056342471168,2,20.6180348,0.0001382,-0.0001382,0.1228,,,1.57,0.06,-0.1,0,,,89.82,,,0.155,0.314,-0.155,0.07695,0.00521,-0.00521,,,,,,,285.5743032,49.9621218
Kepler-2001 b,Gaia DR2 2130124219123552256,2,1.090011,0.00000582,-0.00000582,0.0197,,,1.04,0.13,-0.08,0,,,83.71,,,0.531,0.001,-0.479,0.01748,0.00183,-0.00183,,,,,,,291.6594558,50.5838585
Kepler-2001 c,Gaia DR2 2130124219123552256,2,14.09258319,,,0.1084,,,1.82,0.23,-0.13,0,,,88.45,,,0.586,,,0.05304,,,,,,,,,291.6594558,50.5838585
Kepler-290 d,Gaia DR2 2105538623730974848,3,0.76401755,0.00000377,-0.00000377,0.0154,,,0.86,0.12,-0.07,0,,,84.79,,,0.442,0.5,-0.237,0.01282,0.0013,-0.0013,,,,,,,286.4100307,42.6815137
Kepler-297 d,Gaia DR2 2131748747552136960,3,150.0189511,0.0001744,-0.0001744,0.523,,,32.6,3.6,-2.94,0,,,89.4,,,1.252,67.034,-0.169,0.43197,0.00468,-0.00468,,,,,,,283.2091605,48.7776156
Kepler-31 d,Gaia DR2 2128013019361703936,3,87.6451,0.0014,-0.0014,0.4,,,3.9,0.8,-0.8,,,,,,,0.5,0.4,-0.5,0.0959,,,,,,,,,294.0230229,45.8530535
Kepler-311 d,Gaia DR2 2119534646538533888,3,232.040326,0.006902,-0.006902,0.7326,,,2.05,0.33,-0.29,0,,,89.7,,,0.61,0.341,-0.388,0.02908,0.00219,-0.00219,,,,,,,282.0612731,47.0854984
Kepler-32 d,Gaia DR2 2080287892525359872,5,22.7802,0.0005,-0.0005,0.13,,,2.7,0.2,-0.2,,,,,,,,,,0.2181,,,,,,,,,297.8423073,46.5743595
Kepler-32 e,Gaia DR2 2080287892525359872,5,2.896,0.0003,-0.0003,0.033,,,1.5,0.1,-0.1,,,,,,,,,,0.0671,,,,,,,,,297.8423073,46.5743595
Kepler-32 f,Gaia DR2 2080287892525359872,5,0.74296,0.00007,-0.00007,0.013,,,0.82,0.07,-0.07,,,,,,,,,,0.0224,,,,,,,,,297.8423073,46.5743595
Kepler-347 d,Gaia DR2 2132614922197436928,3,85.517344,0.001846,-0.001846,0.3802,,,3.04,0.45,-0.71,0,,,88,,,0.944,0.026,-0.679,0.02702,0.00216,-0.00216,,,,,,,289.1995995,49.3056404
Kepler-4 b,Gaia DR2 2132152916856093952,1,3.21346,0.00022,-0.00022,0.0456,0.0009,-0.0009,4.002,0.213,-0.213,0,,,89.76,0.24,-2.05,0.022,0.234,-0.022,0.087,,,,,,9.3,1.1,-1.9,285.6154492,50.1357712
Kepler-416 d,Gaia DR2 2052975370856687744,3,3.07644709,0.00001038,-0.00001038,0.0407,,,1.61,0.23,-0.17,0,,,83.78,,,0.708,0.235,-0.505,0.02167,0.00081,-0.00081,,,,,,,291.5569554,39.2272923
Kepler-42 c,Gaia DR2 2126556132093765888,3,0.45328509,0.00000097,-0.00000097,0.006,,,0.73,0.2,-0.2,,,,,,,0.52,0.068,-0.068,0.156,0.0088,-0.0086,,,,,,,292.2196,44.6173667
Kepler-423 b,Gaia DR2 2128273225659492608,1,2.6843285,0.00000007,-0.00000007,0.03585,0.00052,-0.00114,13.361,0.583,-0.583,0.019,0.028,-0.014,87.828,0.126,-0.126,0.3006,0.01,-0.01,1.5872,0.0062,-0.0062,120.26,77.01,-33.88,96.7,11.8,-11.8,292.8557189,46.3911883
Kepler-45 b,Gaia DR2 2053562475706063744,1,2.455239,0.000004,-0.000004,0.03,,,10.76,1.23,-1.23,0.11,0.1,-0.09,87,0.7,-0.7,0.6,0.2,-0.2,3.204,0.072,-0.072,230,68,-68,110,10,-10,292.8729292,41.0641727
Kepler-549 d,Gaia DR2 2107622335702262400,3,24.61480613,0.00003227,-0.00003227,0.1575,,,4.2,0.45,-0.5,0,,,89.63,,,0.435,0.268,-0.297,0.1798,0.00288,-0.00288,,,,,,,283.0228527,47.2611431
Kepler-58 e,Gaia DR2 2073274618947678464,4,4.45814897,0.00002897,-0.00002897,0.0533,,,1.61,0.52,-0.22,0,,,84.65,,,0.754,0.223,-0.548,0.01881,0.00145,-0.00145,,,,,,,296.3586251,39.1152033
Kepler-618 d,Gaia DR2 2129503235571760128,3,11.67894236,0.00002452,-0.00002452,0.1021,,,4.17,1.31,-0.44,0,,,88.28,,,0.94,0.015,-0.712,0.11851,0.00638,-0.00638,,,,,,,290.8490899,48.4159782
Kepler-62 b,Gaia DR2 2107001283431633408,5,5.714932,0.000009,-0.000009,0.0553,0.0005,-0.0005,1.31,0.04,-0.04,,,,89.2,0.4,-0.4,0.25,0.13,-0.13,0.043,0.001,-0.001,,,,,,,283.2125621,45.3496992
Kepler-62 c,Gaia DR2 2107001283431633408,5,12.4417,0.0001,-0.0001,0.0929,0.0009,-0.0009,0.54,0.03,-0.03,,,,89.7,0.2,-0.2,0.16,0.09,-0.09,0.007,0.001,-0.001,,,,,,,283.2125621,45.3496992
Kepler-62 d,Gaia DR2 2107001283431633408,5,18.16406,0.00002,-0.00002,0.12,0.001,-0.001,1.95,0.07,-0.07,,,,89.7,0.3,-0.3,0.22,0.13,-0.13,0.092,0.002,-0.002,,,,,,,283.2125621,45.3496992
Kepler-62 e,Gaia DR2 2107001283431633408,5,122.3874,0.0008,-0.0008,0.427,0.004,-0.004,1.61,0.05,-0.05,,,,89.98,0.02,-0.02,0.06,0.05,-0.05,0.07,0.003,-0.003,,,,,,,283.2125621,45.3496992
Kepler-62 f,Gaia DR2 2107001283431633408,5,267.291,0.005,-0.005,0.718,0.007,-0.007,1.41,0.07,-0.07,,,,89.9,0.03,-0.03,0.41,0.14,-0.14,0.042,0.004,-0.004,,,,,,,283.2125621,45.3496992
Kepler-65 b,Gaia DR2 2102119176929154304,4,2.15491,0.000005,-0.000005,0.035,0.002,-0.001,1.42,0.03,-0.03,,,,,,,0.16,0.2,-0.11,0.0085,0.00016,-0.00011,,,,,,,288.6887221,41.1511076
Kepler-656 c,Gaia DR2 2130825020347168512,2,5.25449393,0.00005613,-0.00005613,0.0602,,,1.41,0.38,-0.11,0,,,83.61,,,0.837,0.108,-0.597,0.0169,0.00146,-0.00146,,,,,,,288.3278778,47.381538
Kepler-69 b,Gaia DR2 2126436800722944000,2,13.722341,0.000035,-0.000036,0.094,0.023,-0.016,2.24,0.44,-0.29,0.16,0.17,-0.001,89.62,0.26,-0.45,0.15,0.17,-0.1,0.0597,,,,,,,,,293.2609013,44.8688656
Kepler-69 c,Gaia DR2 2126436800722944000,2,242.4613,0.0059,-0.0064,0.64,0.15,-0.11,1.71,0.34,-0.23,0.14,0.18,-0.1,89.85,0.03,-0.08,0.12,0.21,-0.09,0.035,,,,,,,,,293.2609013,44.8688656
Kepler-763 c,Gaia DR2 2128369501647063808,3,4.09667624,0.00001956,-0.00001956,0.0466,,,1.42,0.07,-0.1,0,,,89.43,,,0.142,0.32,-0.142,0.03023,0.00204,-0.00204,,,,,,,292.1445534,47.1573604
Kepler-763 d,Gaia DR2 2128369501647063808,3,6.50327035,0.00003134,-0.00003134,0.0634,,,1.67,0.08,-0.12,0,,,89.76,,,0.08,0.375,-0.08,0.04183,0.00241,-0.00241,,,,,,,292.1445534,47.1573604
Kepler-77 b,Gaia DR2 2126912305142208384,1,3.57878087,0.00000023,-0.00000023,0.04501,0.00063,-0.00063,10.761,0.179,-0.179,0,,,88,0.11,-0.11,0.341,0.017,-0.017,0.9849,0.0051,-0.0051,,,,59.2,4.3,-4.3,289.6079433,44.3454347
Kepler-784 c,Gaia DR2 2080605823183999616,2,17.157236,0.0001862,-0.0001862,0.1309,,,1.55,0.24,-0.36,0,,,88.81,,,0.238,0.218,-0.238,0.01104,0.0005,-0.0005,,,,,,,295.9206663,47.4486164
Kepler-864 c,Gaia DR2 2107279803471399168,2,2.42150341,0.00001597,-0.00001597,0.0382,,,1.62,0.47,-0.19,0,,,84.11,,,0.55,0.402,-0.336,0.01715,0.00126,-0.00126,,,,,,,285.0570943,46.3206074
Kepler-865 c,Gaia DR2 2078648211455026432,2,6.20920207,0.0000479,-0.0000479,0.061,,,0.89,0.19,-0.13,0,,,89.11,,,0.272,0.189,-0.272,0.01019,0.00092,-0.00092,,,,,,,297.7242257,43.5272796
Kepler-880 c,Gaia DR2 2105274977158196480,2,11.8061737,0.0001518,-0.0001518,0.1216,,,2.87,0.58,-0.94,0,,,84.28,,,0.905,0.059,-0.711,0.00881,0.00094,-0.00094,,,,,,,281.9712347,43.6727839
Kepler-896 c,Gaia DR2 2105221139747765504,2,29.5422566,0.0002958,-0.0002958,0.1792,,,3.15,0.73,-0.25,0,,,81.44,,,0.959,0.011,-0.008,0.08799,0.00331,-0.00331,,,,,,,282.4391402,43.7344291
Kepler-949 c,Gaia DR2 2085527924426959104,2,20.99757968,0.00003334,-0.00003334,0.1394,,,2.97,0.61,-0.43,0,,,89.76,,,0.277,0.161,-0.277,0.11318,0.0027,-0.0027,,,,,,,298.6079128,46.45366
Kepler-975 c,Gaia DR2 2052826318309391104,2,5.05821338,0.00000474,-0.00000474,0.0567,,,10.69,6.94,-6.3,0,,,85.01,,,1.004,0.042,-0.696,0.07483,0.00237,-0.00237,,,,,,,290.54851,38.4952415
PH2 b,Gaia DR2 2139300262131379584,1,282.5255,0.001,-0.001,0.828,0.009,-0.009,10.12,0.56,-0.56,0.41,0.08,-0.29,89.83,0.03,-0.02,0.512,0.05,-0.066,0.9882,0.0126,-0.0126,3.44,53.86,-3.44,,,,289.7636212,51.962683
