Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad,Rad pe,Rad me,Metalicity,Metal pme
2126801563705846528,5779,60,60,0.821,0.023,0.023,0.022,-0.06,0.04
2126878048483137152,5425,60,60,1.518,0.058,0.058,0.055,0,0.04
2126912305142208384,,,,,,,,,
2126918008858627712,6270,60,60,1.084,0.041,0.041,0.04,-0.16,0.04
2127001056345369984,5658,60,60,1.633,0.14,0.14,0.123,0.15,0.04
2127355923723254272,5947,60,60,1.4,0.102,0.102,0.092,0.14,0.04
2127390970655877888,6330,60,60,0.708,0.023,0.023,0.022,0.05,0.04
2127398083121764736,5520,60,60,0.889,0.045,0.045,0.043,0.12,0.04
2127771917075703424,5873,60,60,1.731,0.048,0.048,0.046,0.36,0.04
2127798442794047104,5451,60,60,0.813,0.024,0.024,0.024,-0.12,0.04
2127851116271982848,5634,60,60,1.051,0.029,0.029,0.028,0.07,0.04
2127956360152391168,,,,,,,,,
2127985806448631808,,,,,,,,,
2128013019361703936,6088,60,60,1.625,0.043,0.043,0.042,-0.09,0.04
2128067720065692672,6119,60,60,0.856,0.086,0.086,0.074,-0.07,0.04
2128098197152438144,5184,60,60,0.994,0.026,0.026,0.025,0.21,0.04
2128198974266072192,,,,,,,,,
2128273225659492608,,,,,,,,,
2128298617506651904,6272,60,60,0.813,0.045,0.045,0.042,0.1,0.04
2128369501647063808,,,,,,,,,
2128504397979254528,5356,60,60,1.434,0.034,0.034,0.033,0.09,0.04
2128724678262662144,5759,60,60,1.048,0.055,0.055,0.052,0.05,0.04
2128911251641171200,5446,60,60,1.338,0.04,0.04,0.039,0,0.04
2128925579652377472,5956,60,60,1.775,0.041,0.041,0.04,-0.1,0.04
2129025841368107136,5175,60,60,0.65,0.021,0.021,0.02,-0.08,0.04
2129084935820532608,4665,60,60,0.771,0.033,0.033,0.032,-0.01,0.04
2129161734133025408,5046,60,60,0.769,0.03,0.03,0.029,-0.06,0.04
2129495057954829952,5952,60,60,0.839,0.022,0.022,0.022,-0.02,0.04
2129503235571760128,,,,,,,,,
2129503716608032256,5559,60,60,1.953,0.051,0.051,0.049,-0.25,0.04
2129550445852902656,5789,60,60,0.876,0.021,0.021,0.02,0.14,0.04
2129753580626548736,5676,60,60,0.738,0.02,0.02,0.019,0.01,0.04
2130124219123552256,,,,,,,,,
2130243550494676480,5527,60,60,0.84,0.021,0.021,0.021,0.31,0.04
2130250731680096384,5503,60,60,0.81,0.026,0.026,0.025,-0.13,0.04
2130320172711659136,6267,60,60,1.089,0.036,0.036,0.035,-0.17,0.04
2130368310704421120,5933,60,60,0.792,0.023,0.023,0.022,-0.09,0.04
2130405041264941184,5511,60,60,0.995,0.028,0.028,0.027,-0.09,0.04
2130460394803778816,5315,60,60,1.558,0.04,0.04,0.039,0.33,0.04
2130625287187139072,5884,60,60,0.999,0.024,0.024,0.023,-0.2,0.04
2130634667395736704,5386,60,60,1.796,0.048,0.048,0.046,-0.04,0.04
2130661880308812800,5866,60,60,1.752,0.045,0.045,0.044,0.01,0.04
2130825020347168512,,,,,,,,,
2130889204338693504,,,,,,,,,
2131059594280288128,,,,,,,,,
2131114947819394816,5002,60,60,0.766,0.023,0.023,0.022,0.06,0.04
2131169545443676032,5005,60,60,0.882,0.023,0.023,0.022,0.03,0.04
2131216137248338304,5773,60,60,1.185,0.037,0.037,0.036,-0.15,0.04
2131494313689868416,5808,60,60,1.363,0.034,0.034,0.033,0.26,0.04
2131709921047710336,5661,60,60,0.998,0.024,0.024,0.023,0.39,0.04
2131748747552136960,,,,,,,,,
2131859244171951616,6318,60,60,0.736,0.024,0.024,0.023,0.12,0.04
2132004074768150400,5583,60,60,0.853,0.026,0.026,0.025,-0.02,0.04
2132144056342471168,,,,,,,,,
2132152916856093952,,,,,,,,,
2132155017099178624,5599,60,60,1.173,0.052,0.052,0.049,-0.11,0.04
2132178725317511936,6238,60,60,1.433,0.042,0.042,0.041,-0.02,0.04
2132193431285570304,6015,60,60,1.449,0.046,0.046,0.044,0.1,0.04
2132215421518219392,5918,60,60,1.583,0.04,0.04,0.039,-0.17,0.04
2132325200882204544,5748,60,60,1.454,0.035,0.035,0.034,-0.11,0.04
2132614922197436928,,,,,,,,,
2132709613336959744,6059,60,60,0.699,0.018,0.018,0.018,0.06,0.04
2132768956905956352,4961,60,60,1.326,0.044,0.044,0.043,0.21,0.04
2133021810218800384,5541,60,60,0.677,0.019,0.019,0.019,0.02,0.04
2133022669212268800,5666,60,60,0.673,0.021,0.021,0.021,0.02,0.04
2133035966431029376,,,,,,,,,
2133124511477266176,5602,60,60,2.672,0.115,0.115,0.111,0.14,0.04
2133369840008452224,4791,60,60,1.617,0.042,0.042,0.041,0.13,0.04
2133611659549905024,6155,60,60,1.09,0.051,0.051,0.048,0.11,0.04
2133946843094378752,,,,,,,,,
2134719834131370496,5805,60,60,1.708,0.043,0.043,0.042,-0.03,0.04
2134798444914611712,5920,60,60,3.009,0.09,0.09,0.086,0.26,0.04
2134850847813263360,,,,,,,,,
2134931077802625792,,,,,,,,,
2135002576119495936,6386,60,60,2.157,0.06,0.06,0.058,0.21,0.04
2135019107451751168,5823,60,60,1.5,0.039,0.039,0.038,-0.09,0.04
2135044568018500096,6231,60,60,0.993,0.036,0.036,0.035,0.06,0.04
2135055391335687680,,,,,,,,,
2135179533070399232,5945,60,60,2.201,0.054,0.054,0.053,-0.4,0.04
2135203000771400320,5837,60,60,1.772,0.135,0.135,0.121,0.01,0.04
2135314184585149696,6030,60,60,0.787,0.019,0.019,0.018,0.14,0.04
2135378231142791808,5871,60,60,1.93,0.044,0.044,0.042,-0.3,0.04
2135427576021495168,4966,60,60,1.604,0.037,0.037,0.036,-0.24,0.04
2135590578620605568,6298,60,60,1.814,0.038,0.038,0.037,0.17,0.04
2136815881249993600,,,,,,,,,
2139300262131379584,,,,,,,,,
2141754578242371584,,,,,,,,,
2143749504651818368,5846,60,60,1.594,0.038,0.038,0.037,0.1,0.04
2188906825165621120,,,,,,,,,
2221164434736927360,,,,,,,,,
2242756094328104576,,,,,,,,,
2254929887069708160,,,,,,,,,
2296342614570999552,,,,,,,,,
2300641567596591488,,,,,,,,,
2303332931542914048,,,,,,,,,
2318295979126499200,,,,,,,,,
2329387852426700800,,,,,,,,,
2333676738050041728,,,,,,,,,
2340919358581488768,,,,,,,,,
2371032916186181760,,,,,,,,,
2385171398768647552,,,,,,,,,
2415410962124813056,,,,,,,,,
2424406513428936832,,,,,,,,,
2424621502311961344,,,,,,,,,
2439222638771000448,,,,,,,,,
2441013811932929280,,,,,,,,,
2498515516990171392,,,,,,,,,
2507901914613201024,,,,,,,,,
2512413932376364288,,,,,,,,,
2538824923230146560,,,,,,,,,
2546413408888429696,,,,,,,,,
2562569564026683520,,,,,,,,,
2609222216055014144,,,,,,,,,
2641087471777046016,,,,,,,,,
2645727449501559680,,,,,,,,,
2657135741633337088,,,,,,,,,
2657374606238804992,,,,,,,,,
2666015878575546496,,,,,,,,,
2677447294810845824,,,,,,,,,
2790691147020786816,,,,,,,,,
2831084391023184128,,,,,,,,,
2841043011433969152,,,,,,,,,
2868528637464028160,,,,,,,,,
2878641361300809856,,,,,,,,,
2881784280929695360,,,,,,,,,
2912264564319611136,,,,,,,,,
2924661867160818304,,,,,,,,,
2930141657016297216,,,,,,,,,
2959177048983750016,,,,,,,,,
2966680597368750720,,,,,,,,,
2980392087185289216,,,,,,,,,
3022644120017418496,,,,,,,,,
3046327742219111808,,,,,,,,,
306410392895767680,,,,,,,,,
3078836109158636928,,,,,,,,,
3080104185367102592,,,,,,,,,
3087206553745290624,,,,,,,,,
3105507886130792448,,,,,,,,,
3107255598526406912,,,,,,,,,
3107267177757848576,,,,,,,,,
3125611120515388800,,,,,,,,,
3126717023056016256,,,,,,,,,
3211188618762023424,,,,,,,,,
3222453935725951488,,,,,,,,,
3231856379348299008,,,,,,,,,
3291455819447952768,,,,,,,,,
3311804515502788352,,,,,,,,,
3326541506073371776,,,,,,,,,
3342228616422593664,,,,,,,,,
338382713564401920,,,,,,,,,
3385777286999240576,,,,,,,,,
3394923127797114496,,,,,,,,,
3402980516507429888,,,,,,,,,
3445148131761842944,,,,,,,,,
3460438662009633408,,,,,,,,,
3515865416826633984,,,,,,,,,
3537110837630877568,,,,,,,,,
3545873945303316224,,,,,,,,,
3558354604869150208,,,,,,,,,
3578596339057980160,,,,,,,,,
3578783977588991360,,,,,,,,,
3579426053724051584,,,,,,,,,
3579573358218514944,,,,,,,,,
3581264372742210048,,,,,,,,,
3582057258065666816,,,,,,,,,
3582098107498270208,,,,,,,,,
3582392123779246336,,,,,,,,,
3582706794559052160,,,,,,,,,
3583611726988838144,,,,,,,,,
3583630934082556416,,,,,,,,,
3584368019189709952,,,,,,,,,
3594882751966012160,,,,,,,,,
3595647565382917120,,,,,,,,,
3596003497911958528,,,,,,,,,
3596508242468505216,,,,,,,,,
3596876269626641664,,,,,,,,,
3597570989175080576,,,,,,,,,
3597981377595128704,,,,,,,,,
3600851450836925312,,,,,,,,,
3630680754621236096,,,,,,,,,
363702817083391232,,,,,,,,,
3643098875168270592,,,,,,,,,
3652176997218325888,,,,,,,,,
3668036348641580288,,,,,,,,,
3675248118423392256,,,,,,,,,
3676684252407983488,,,,,,,,,
3682825883842696832,,,,,,,,,
3683121446312149504,,,,,,,,,
3693923185982895360,,,,,,,,,
3694743765254445312,,,,,,,,,
3694878833385971840,,,,,,,,,
3695235654973028736,,,,,,,,,
3695568295896473856,,,,,,,,,
3697828548204889344,,,,,,,,,
3700295641843380224,,,,,,,,,
3700937760929835648,,,,,,,,,
3701015375282968064,,,,,,,,,
3761497761876022400,,,,,,,,,
3788394461991295488,,,,,,,,,
3794479262419500160,,,,,,,,,
3803004978659671040,,,,,,,,,
3803494845449564672,,,,,,,,,
3807826337147474176,,,,,,,,,
3810535361999701376,,,,,,,,,
3811032513054107648,,,,,,,,,
3811688440459523200,,,,,,,,,
382111248777193216,,,,,,,,,
3856449627544923392,,,,,,,,,
385697172809355392,,,,,,,,,
3857872051994269824,,,,,,,,,
3859431674878660864,,,,,,,,,
3860369901894562304,,,,,,,,,
3862378262961788288,,,,,,,,,
3864142669886768896,,,,,,,,,
3877070590167177344,,,,,,,,,
3882879683758393344,,,,,,,,,
3892632287473304064,,,,,,,,,
3896271842760486272,,,,,,,,,
3899064464855774592,,,,,,,,,
3962403923821595264,,,,,,,,,
3997075206232885888,,,,,,,,,
404433018447476096,,,,,,,,,
4056326681029056896,,,,,,,,,
4056443366649948160,,,,,,,,,
415703635408772480,,,,,,,,,
4223507222112425344,,,,,,,,,
4224062406762625152,,,,,,,,,
4255957040079935488,,,,,,,,,
4256135160951556480,,,,,,,,,
4263752921128319616,,,,,,,,,
427224073427887360,,,,,,,,,
4285511294172309504,,,,,,,,,
4287832775526476800,,,,,,,,,
4334991786994866304,,,,,,,,,
4439085988769170432,,,,,,,,,
4453211899986180352,,,,,,,,,
4477340334766250496,,,,,,,,,
4534144923690481408,,,,,,,,,
4558177980124887936,,,,,,,,,
457317534880081152,,,,,,,,,
4583004815239650176,,,,,,,,,
4596481632339898240,,,,,,,,,
4606030169272920320,,,,,,,,,
4608935250790855296,,,,,,,,,
4613145315172329984,,,,,,,,,
4620574887039870720,,,,,,,,,
4624979393181971328,,,,,,,,,
4668163021600295552,,,,,,,,,
4684513614202233728,,,,,,,,,
4698692748651744128,,,,,,,,,
470650560779277952,,,,,,,,,
4707634458245031552,,,,,,,,,
4727755005637190016,,,,,,,,,
4745660479479743488,,,,,,,,,
4746157737910069888,,,,,,,,,
4747624104168195072,,,,,,,,,
4756649415309914240,,,,,,,,,
4837286842168217088,,,,,,,,,
4864759888238232320,,,,,,,,,
4886243456388510720,,,,,,,,,
4895489043507741440,,,,,,,,,
4911563216311083392,,,,,,,,,
4917441922731087488,,,,,,,,,
4968289907406396160,,,,,,,,,
497750842338402560,,,,,,,,,
4990044668377961984,,,,,,,,,
4994237247949280000,,,,,,,,,
5001098681543159040,,,,,,,,,
5019835424832215424,,,,,,,,,
5057924844082070016,,,,,,,,,
5065640460769428224,,,,,,,,,
5086537022856406272,,,,,,,,,
5089851638095503616,,,,,,,,,
5175239363214344960,,,,,,,,,
5227928170880093568,,,,,,,,,
5241964708164136192,,,,,,,,,
5242077854771196544,,,,,,,,,
5253607539857229568,,,,,,,,,
5262666416118954368,,,,,,,,,
5284358990266469760,,,,,,,,,
5288681857665822080,,,,,,,,,
5305241494923209856,,,,,,,,,
5337273743301313536,,,,,,,,,
5337294049909975680,,,,,,,,,
534988616816537728,,,,,,,,,
5351820556994135296,,,,,,,,,
5357465071731312768,,,,,,,,,
5376137837173646208,,,,,,,,,
5385076140853434752,,,,,,,,,
5401743332678544640,,,,,,,,,
5409268527708808320,,,,,,,,,
5411736896952029568,,,,,,,,,
5444147952811517696,,,,,,,,,
5453063823882876032,,,,,,,,,
545560867790611072,,,,,,,,,
5509620021956148736,,,,,,,,,
5545555570947605376,,,,,,,,,
5557345496687437696,,,,,,,,,
5560886336446650240,,,,,,,,,
5574766468155514752,,,,,,,,,
5580554052549277056,,,,,,,,,
5656184406542140032,,,,,,,,,
5664814198431308288,,,,,,,,,
5664957444179338240,,,,,,,,,
5674618444832114304,,,,,,,,,
570653411060484480,,,,,,,,,
5710154317045164416,,,,,,,,,
5723638723350902400,,,,,,,,,
5723772524469252096,,,,,,,,,
5738284016370287616,,,,,,,,,
5746824674801810816,,,,,,,,,
5751177095877066496,,,,,,,,,
5795534040654879744,,,,,,,,,
58200934326315136,,,,,,,,,
5880886001621564928,,,,,,,,,
5902750168276592256,,,,,,,,,
596931979481073152,,,,,,,,,
6003809889735481856,,,,,,,,,
602494855483616256,,,,,,,,,
6032746832450438400,,,,,,,,,
6042793005779654656,,,,,,,,,
6086712585429729536,,,,,,,,,
6112606840179716096,,,,,,,,,
6125644402384918784,,,,,,,,,
6154982877300947840,,,,,,,,,
61607255708760960,,,,,,,,,
6160877943251930368,,,,,,,,,
6171009049549197824,,,,,,,,,
6173435259395017344,,,,,,,,,
6173451477191225984,,,,,,,,,
6186950525042445824,,,,,,,,,
6198312362812872320,,,,,,,,,
6239410080231903488,,,,,,,,,
6255655673768103168,,,,,,,,,
6257625719430982016,,,,,,,,,
6258364939144564992,,,,,,,,,
6258810550587404672,,,,,,,,,
6264513270727342080,,,,,,,,,
6283723285046532864,,,,,,,,,
6284007337003799552,,,,,,,,,
6347643496607835520,,,,,,,,,
6386751579018596864,,,,,,,,,
6407428994690988928,,,,,,,,,
6411096106487783296,,,,,,,,,
6453566701615683456,,,,,,,,,
646125297938578944,,,,,,,,,
6482103014085857024,,,,,,,,,
6491038642006989056,,,,,,,,,
6492940453524576128,,,,,,,,,
6518399301667782016,,,,,,,,,
651935220461650560,,,,,,,,,
6533307957785865856,,,,,,,,,
6534414719318886144,,,,,,,,,
6541360574788758016,,,,,,,,,
6552346035980010624,,,,,,,,,
6582435924022652672,,,,,,,,,
6675883485986480256,,,,,,,,,
6677909439240233472,,,,,,,,,
6683371847364921088,,,,,,,,,
6710517793025165696,,,,,,,,,
6801474136516893184,,,,,,,,,
684992690384102528,,,,,,,,,
6857756246957592320,,,,,,,,,
6868476691490044672,,,,,,,,,
6910753016653587840,,,,,,,,,
702295464353437952,,,,,,,,,
770622651659107712,,,,,,,,,
869913435026514688,,,,,,,,,
876608292608416512,,,,,,,,,
898130030131443584,,,,,,,,,
920308932010648448,,,,,,,,,
990291507088739072,,,,,,,,,
