Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pme
1044013542142711296,,,,,,,,
1053809778428567680,,,,,,,,
1074139748425931008,,,,,,,,
1076970406751899008,,,,,,,,
1111639314047794944,,,,,,,,
111322601672419712,,,,,,,,
1117620107545810944,,,,,,,,
1126422935076082176,,,,,,,,
1255520718461480960,,,,,,,,
1316708918505350528,,,,,,,,
1331356474971716992,,,,,,,,
1344163891352965632,,,,,,,,
1416731285125373184,,,,,,,,
1424011082893734272,,,,,,,,
145333927996558976,,,,,,,,
1464700950221781504,,,,,,,,
1476485996883837184,,,,,,,,
148080473682357376,,,,,,,,
1491634483976350720,,,,,,,,
1499514786891168640,,,,,,,,
1587399232335653760,,,,,,,,
1675923009431370880,,,,,,,,
1716345832872291968,,,,,,,,
1725490333641502976,,,,,,,,
1737061349198867456,,,,,,,,
1744911763437512064,,,,,,,,
1750321012752775040,,,,,,,,
1779546757669063552,,,,,,,,
179498266829041664,,,,,,,,
1808938730710633984,,,,,,,,
181908842994567936,,,,,,,,
1835842749465226368,,,,,,,,
1849786481032616960,,,,,,,,
1909762228985058944,,,,,,,,
1925321658551399040,,,,,,,,
1962153854973972096,,,,,,,,
2009481748875806976,,,,,,,,
2033123654092592384,,,,,,,,
2048464796210957440,,,,,,,,
2051027792165858304,,,,,,,,
2051104586182508928,,,,1.51,0.01,0.01,,
2051105410816218368,,,,,,,,
2051368434612892800,,,,,,,,
2051738798233021824,,,,,,,,
2051866238502437632,,,,,,,,
2051933102555095936,,,,0.91,0.02,0.02,,
2051950454223150720,,,,,,,,
2052136821446989568,,,,,,,,
2052139123549626240,,,,,,,,
2052168466766597120,,,,1.07,0.01,0.01,,
2052185062520374272,,,,,,,,
2052304325169514880,,,,1.4,0.01,0.01,,
2052392835854583936,,,,1.05,0.03,0.03,,
2052528625536778624,,,,,,,,
2052688467040906624,,,,,,,,
2052747119115620352,5669,75,75,,,,-0.18,0.1
2052823535171095296,,,,,,,,
2052826318309391104,,,,,,,,
2052975370856687744,,,,1.6,0.04,0.04,,
2053070616052194304,,,,1.45,0.01,0.01,,
2053546910744629504,,,,,,,,
2053552270863859712,,,,,,,,
2053562475706063744,,,,,,,,
2053586321364864640,,,,,,,,
2054523105274216704,,,,,,,,
2056007995732413312,,,,,,,,
2073153024144692736,,,,,,,,
2073274618947678464,,,,,,,,
2073277200237694464,,,,,,,,
2073539536845074176,6007,120,120,,,,0.05,0.15
2073547954981763328,,,,1.41,0.05,0.05,,
2073652546016392448,,,,,,,,
2073697660354300544,,,,,,,,
2073731161099713408,5690,77,77,1.36,0.04,0.04,0.04,0.07
2073804411752924288,6081,75,75,1.45,0.04,0.04,-0.03,0.1
2075112109039378688,,,,1.34,0.02,0.02,,
2075161655782111872,,,,,,,,
2076121602454770560,,,,,,,,
2076185408488670208,,,,,,,,
2076328963475704576,,,,,,,,
2076454445237794432,,,,,,,,
2076565805151925760,,,,,,,,
2076601917234347520,,,,,,,,
2076692386427776768,,,,,,,,
2076764576237957504,,,,,,,,
2076782889978499840,,,,,,,,
2076792648144511104,,,,,,,,
2076871091425583232,,,,,,,,
2076955822541823744,,,,,,,,
2076960598545789824,,,,1.55,0.05,0.05,,
2076970047474270208,,,,,,,,
2077140987172577408,,,,,,,,
2077540827141811200,,,,,,,,
2077556465126659456,,,,,,,,
2077598384004774912,,,,,,,,
2077726678964445696,,,,,,,,
2077750803804146176,,,,,,,,
2077961463362645632,,,,,,,,
2077994272606400512,,,,,,,,
2078000289864478976,,,,,,,,
2078195212660287616,,,,,,,,
2078272831307891456,,,,0.77,0.01,0.01,,
2078286197246582016,,,,1.24,0.01,0.01,,
2078515170549178880,,,,1.2,0.03,0.03,,
2078648211455026432,,,,,,,,
2078697552035948800,,,,1.34,0.02,0.02,,
2078722600285671936,,,,0.94,0.03,0.03,,
2078832551450444032,,,,,,,,
2078996825361036160,,,,,,,,
2079005651508492032,,,,1.45,0.02,0.02,,
2079192121810035840,,,,1.36,0.03,0.03,,
2079295583282164992,,,,1.1,0.03,0.03,,
2079368391569401600,,,,1.65,0.01,0.01,,
2079695496278608896,,,,1.19,0.02,0.02,,
2079807646464016256,,,,,,,,
2079880695265507328,,,,,,,,
2079885608708649344,,,,1.57,0.08,0.08,,
2080246282881778048,,,,1.04,0.02,0.02,,
2080266967444876032,,,,,,,,
2080271674728481280,,,,,,,,
2080287892525359872,,,,,,,,
2080296757338392576,,,,,,,,
2080344586094498432,,,,1.38,0.04,0.04,,
2080386917291928832,6253,75,75,1.13,0.03,0.03,-0.13,0.1
2080452613110460928,,,,,,,,
2080466185207274880,,,,,,,,
2080562667352233728,,,,,,,,
2080605823183999616,,,,,,,,
2082074942519913344,,,,1.72,0.01,0.01,,
2082161219824397568,,,,,,,,
2085204015173031552,,,,,,,,
2085527924426959104,,,,,,,,
2086337508581280256,,,,,,,,
2086389357427331712,6056,165,165,,,,-0.17,0.3
2086505630781210752,,,,,,,,
2086625752425381632,5851,75,75,,,,0.27,0.1
2086629463276947456,,,,,,,,
2086660283961964416,,,,,,,,
2086718317558873984,,,,,,,,
2086940448965828992,,,,,,,,
2087171453788422528,,,,,,,,
2087250476887856256,,,,,,,,
2099541715513813504,5739,75,75,,,,0.35,0.1
2099583977992504576,,,,,,,,
2099605968225288960,5747,85,85,,,,0.03,0.1
2099606483621385216,6305,50,50,,,,-0.03,0.1
2099656472742686848,5622,106,106,,,,-0.4,0.11
2099854801450635520,,,,,,,,
2099862910348755712,,,,,,,,
2099925719951103872,,,,,,,,
2100389610777053056,,,,,,,,
2100392428275714688,6134,91,91,,,,-0.24,0.1
2100416823690394624,5968,59,59,,,,-0.2,0.3
2100524610190045312,,,,,,,,
2100597143598879616,,,,1.89,0.01,0.01,,
2100624562669914240,,,,,,,,
2100906140725803392,,,,,,,,
2101035367703145088,,,,,,,,
2101175933393051008,5969.16,63.76,63.9,,,,-0.06,0.08
2101188990094347648,,,,,,,,
2101230049979183232,,,,,,,,
2101243789577188736,5889.04,70.97,75.58,,,,0.1,0.09
2101305259145506816,5884,75,75,,,,-0.22,0.1
2101508501301083520,,,,,,,,
2101719263935952768,,,,,,,,
2101733244046205568,5902.77,66.37,53.27,,,,0.1,0.09
2101768089124657664,,,,,,,,
2101854881822529024,,,,,,,,
2101898759208960640,,,,,,,,
2101964558106974848,,,,,,,,
2102063136195478656,,,,,,,,
2102067396802935680,,,,,,,,
2102070660978313472,,,,,,,,
2102110174677569664,,,,,,,,
2102119176929154304,6193.44,52.09,42.69,,,,0.15,0.08
2102224661326132864,5951.55,69.2,76.23,,,,0.3,0.07
2102316985943863424,,,,,,,,
2102454253097554304,,,,,,,,
2102469921138142208,,,,,,,,
2102548708017562112,,,,,,,,
2102587087846067712,,,,,,,,
2102610280669509888,,,,,,,,
2102700131386216576,,,,,,,,
2102815683186036096,,,,,,,,
2102911581215700096,,,,,,,,
2103295173333142784,,,,,,,,
2103452266056715392,6184,81,81,,,,0.12,0.1
2103788854053938816,,,,1.12,0.03,0.03,,
2103845032226500352,,,,,,,,
2104094071610116608,,,,,,,,
2104098950692667264,,,,,,,,
2104344141784539264,5923,77,77,,,,-0.07,0.1
2104376405579347968,,,,,,,,
2104466153215402624,,,,,,,,
2104466256290759936,,,,,,,,
2104506319750394624,,,,,,,,
2104847370214740352,,,,,,,,
2105135854577044480,5952,119,119,,,,0.02,0.15
2105221139747765504,,,,,,,,
2105274977158196480,,,,,,,,
2105362903731391744,,,,,,,,
2105414310196331264,,,,,,,,
2105415302330571008,,,,,,,,
2105435544515167232,,,,,,,,
2105535462635217792,,,,,,,,
2105538623730974848,,,,,,,,
2105618029085927680,,,,,,,,
2105620159389754624,6463,110,110,,,,0.09,0.11
2106008493152187392,,,,,,,,
2106306495162679552,,,,,,,,
2106371744306291328,,,,,,,,
2106496607595412480,,,,,,,,
2106674071344722688,5429.68,46.73,62.91,,,,-0.29,0.06
2106705269988803072,5699,74,74,,,,0.3,0.1
2106821925598401152,,,,,,,,
2106996095111385728,,,,,,,,
2107001283431633408,,,,,,,,
2107236613280607104,,,,,,,,
2107243072911617024,,,,,,,,
2107244481660894592,,,,,,,,
2107266570672734592,6106,106,106,,,,0.33,0.1
2107279803471399168,,,,,,,,
2107311723669410560,,,,,,,,
2107315365800640896,6491,69,69,,,,-0.2,0.3
2107342716152550272,6131,75,75,,,,0.13,0.1
2107622335702262400,,,,,,,,
2107658516506930048,,,,,,,,
2116862833283266432,,,,,,,,
2119196585370036736,,,,,,,,
2119534646538533888,,,,,,,,
2119583201145735808,,,,,,,,
2119602202081351168,,,,,,,,
2119710538336363904,,,,,,,,
2119814820141727232,,,,,,,,
2125713940547834496,,,,,,,,
2125751461382627840,,,,,,,,
2125790322246812672,,,,,,,,
2125831210335846016,,,,,,,,
2125848733801094912,,,,,,,,
2125850623586710400,,,,,,,,
2126119862195142272,,,,,,,,
2126237131982289280,6227.7,72.48,85.43,,,,0.2,0.07
2126266823097360000,,,,,,,,
2126418658780855296,,,,,,,,
2126432677554353280,,,,,,,,
2126436800722944000,,,,1.85,0.04,0.04,,
2126454633427425664,,,,1.85,0.03,0.03,,
2126508676995012352,6034,92,92,,,,-0.14,0.1
2126556132093765888,,,,,,,,
2126569051355142656,,,,,,,,
2126576679217244160,,,,,,,,
2126601108991279872,,,,,,,,
2126801563705846528,,,,,,,,
2126878048483137152,,,,,,,,
2126912305142208384,,,,,,,,
2126918008858627712,6286.3,76.51,64.06,,,,-0.15,0.08
2127001056345369984,,,,,,,,
2127355923723254272,,,,,,,,
2127390970655877888,,,,,,,,
2127398083121764736,,,,,,,,
2127771917075703424,,,,,,,,
2127798442794047104,,,,,,,,
2127851116271982848,,,,,,,,
2127956360152391168,,,,,,,,
2127985806448631808,,,,,,,,
2128013019361703936,,,,1.59,0.03,0.03,,
2128067720065692672,,,,,,,,
2128098197152438144,,,,,,,,
2128198974266072192,,,,,,,,
2128273225659492608,,,,,,,,
2128298617506651904,,,,,,,,
2128369501647063808,,,,,,,,
2128504397979254528,,,,,,,,
2128724678262662144,,,,,,,,
2128911251641171200,,,,,,,,
2128925579652377472,,,,,,,,
2129025841368107136,,,,,,,,
2129084935820532608,,,,,,,,
2129161734133025408,,,,,,,,
2129495057954829952,5982,82,82,,,,-0.02,0.1
2129503235571760128,,,,,,,,
2129503716608032256,,,,1.93,0.04,0.04,,
2129550445852902656,5834.7,43.16,25.74,,,,0.17,0.05
2129753580626548736,,,,,,,,
2130124219123552256,,,,,,,,
2130243550494676480,,,,,,,,
2130250731680096384,,,,,,,,
2130320172711659136,,,,,,,,
2130368310704421120,,,,,,,,
2130405041264941184,,,,,,,,
2130460394803778816,,,,1.48,0.07,0.07,,
2130625287187139072,,,,,,,,
2130634667395736704,,,,,,,,
2130661880308812800,,,,1.74,0.08,0.08,,
2130825020347168512,,,,,,,,
2130889204338693504,,,,,,,,
2131059594280288128,,,,,,,,
2131114947819394816,,,,,,,,
2131169545443676032,,,,,,,,
2131216137248338304,,,,,,,,
2131494313689868416,5822.05,66.75,65.06,,,,0.35,0.08
2131709921047710336,,,,,,,,
2131748747552136960,,,,,,,,
2131859244171951616,,,,,,,,
2132004074768150400,,,,,,,,
2132144056342471168,,,,,,,,
2132152916856093952,,,,,,,,
2132155017099178624,5678.29,49.46,55.21,,,,-0.1,0.06
2132178725317511936,6467,173,173,,,,-0.1,0.3
2132193431285570304,,,,,,,,
2132215421518219392,,,,,,,,
2132325200882204544,,,,,,,,
2132614922197436928,,,,,,,,
2132709613336959744,6287,169,169,,,,-0.27,0.3
2132768956905956352,,,,,,,,
2133021810218800384,,,,,,,,
2133022669212268800,,,,,,,,
2133035966431029376,,,,,,,,
2133124511477266176,,,,2.68,0.25,0.25,,
2133369840008452224,,,,,,,,
2133611659549905024,,,,,,,,
2133946843094378752,,,,,,,,
2134719834131370496,,,,1.71,0.04,0.04,,
2134798444914611712,5862,97,97,,,,0.27,0.11
2134850847813263360,,,,,,,,
2134931077802625792,,,,,,,,
2135002576119495936,,,,2.16,0.04,0.04,,
2135019107451751168,5828,100,100,,,,-0.05,0.1
2135044568018500096,,,,,,,,
2135055391335687680,,,,,,,,
2135179533070399232,6004,102,102,2.16,0.07,0.07,-0.38,0.1
2135203000771400320,,,,,,,,
2135314184585149696,,,,,,,,
2135378231142791808,,,,1.86,0.08,0.08,,
2135427576021495168,,,,,,,,
2135590578620605568,6215,89,89,,,,0.28,0.1
2136815881249993600,,,,,,,,
2139300262131379584,,,,,,,,
2141754578242371584,,,,,,,,
2143749504651818368,,,,1.55,0.07,0.07,,
2188906825165621120,,,,,,,,
2221164434736927360,,,,,,,,
2242756094328104576,,,,,,,,
2254929887069708160,,,,,,,,
2296342614570999552,,,,,,,,
2300641567596591488,,,,,,,,
2303332931542914048,,,,,,,,
2318295979126499200,,,,,,,,
2329387852426700800,,,,,,,,
2333676738050041728,,,,,,,,
2340919358581488768,,,,,,,,
2371032916186181760,,,,,,,,
2385171398768647552,,,,,,,,
2415410962124813056,,,,,,,,
2424406513428936832,,,,,,,,
2424621502311961344,,,,,,,,
2439222638771000448,,,,,,,,
2441013811932929280,,,,,,,,
2498515516990171392,,,,,,,,
2507901914613201024,,,,,,,,
2512413932376364288,,,,,,,,
2538824923230146560,,,,,,,,
2546413408888429696,,,,,,,,
2562569564026683520,,,,,,,,
2609222216055014144,,,,,,,,
2641087471777046016,,,,,,,,
2645727449501559680,,,,,,,,
2657135741633337088,,,,,,,,
2657374606238804992,,,,,,,,
2666015878575546496,,,,,,,,
2677447294810845824,,,,,,,,
2790691147020786816,,,,,,,,
2831084391023184128,,,,,,,,
2841043011433969152,,,,,,,,
2868528637464028160,,,,,,,,
2878641361300809856,,,,,,,,
2881784280929695360,,,,,,,,
2912264564319611136,,,,,,,,
2924661867160818304,,,,,,,,
2930141657016297216,,,,,,,,
2959177048983750016,,,,,,,,
2966680597368750720,,,,,,,,
2980392087185289216,,,,,,,,
3022644120017418496,,,,,,,,
3046327742219111808,,,,,,,,
306410392895767680,,,,,,,,
3078836109158636928,,,,,,,,
3080104185367102592,,,,,,,,
3087206553745290624,,,,,,,,
3105507886130792448,,,,,,,,
3107255598526406912,,,,,,,,
3107267177757848576,,,,,,,,
3125611120515388800,,,,,,,,
3126717023056016256,,,,,,,,
3211188618762023424,,,,,,,,
3222453935725951488,,,,,,,,
3231856379348299008,,,,,,,,
3291455819447952768,,,,,,,,
3311804515502788352,,,,,,,,
3326541506073371776,,,,,,,,
3342228616422593664,,,,,,,,
338382713564401920,,,,,,,,
3385777286999240576,,,,,,,,
3394923127797114496,,,,,,,,
3402980516507429888,,,,,,,,
3445148131761842944,,,,,,,,
3460438662009633408,,,,,,,,
3515865416826633984,,,,,,,,
3537110837630877568,,,,,,,,
3545873945303316224,,,,,,,,
3558354604869150208,,,,,,,,
3578596339057980160,,,,,,,,
3578783977588991360,,,,,,,,
3579426053724051584,,,,,,,,
3579573358218514944,,,,,,,,
3581264372742210048,,,,,,,,
3582057258065666816,,,,,,,,
3582098107498270208,,,,,,,,
3582392123779246336,,,,,,,,
3582706794559052160,,,,,,,,
3583611726988838144,,,,,,,,
3583630934082556416,,,,,,,,
3584368019189709952,,,,,,,,
3594882751966012160,,,,,,,,
3595647565382917120,,,,,,,,
3596003497911958528,,,,,,,,
3596508242468505216,,,,,,,,
3596876269626641664,,,,,,,,
3597570989175080576,,,,,,,,
3597981377595128704,,,,,,,,
3600851450836925312,,,,,,,,
3630680754621236096,,,,,,,,
363702817083391232,,,,,,,,
3643098875168270592,,,,,,,,
3652176997218325888,,,,,,,,
3668036348641580288,,,,,,,,
3675248118423392256,,,,,,,,
3676684252407983488,,,,,,,,
3682825883842696832,,,,,,,,
3683121446312149504,,,,,,,,
3693923185982895360,,,,,,,,
3694743765254445312,,,,,,,,
3694878833385971840,,,,,,,,
3695235654973028736,,,,,,,,
3695568295896473856,,,,,,,,
3697828548204889344,,,,,,,,
3700295641843380224,,,,,,,,
3700937760929835648,,,,,,,,
3701015375282968064,,,,,,,,
3761497761876022400,,,,,,,,
3788394461991295488,,,,,,,,
3794479262419500160,,,,,,,,
3803004978659671040,,,,,,,,
3803494845449564672,,,,,,,,
3807826337147474176,,,,,,,,
3810535361999701376,,,,,,,,
3811032513054107648,,,,,,,,
3811688440459523200,,,,,,,,
382111248777193216,,,,,,,,
3856449627544923392,,,,,,,,
385697172809355392,,,,,,,,
3857872051994269824,,,,,,,,
3859431674878660864,,,,,,,,
3860369901894562304,,,,,,,,
3862378262961788288,,,,,,,,
3864142669886768896,,,,,,,,
3877070590167177344,,,,,,,,
3882879683758393344,,,,,,,,
3892632287473304064,,,,,,,,
3896271842760486272,,,,,,,,
3899064464855774592,,,,,,,,
3962403923821595264,,,,,,,,
3997075206232885888,,,,,,,,
404433018447476096,,,,,,,,
4056326681029056896,,,,,,,,
4056443366649948160,,,,,,,,
415703635408772480,,,,,,,,
4223507222112425344,,,,,,,,
4224062406762625152,,,,,,,,
4255957040079935488,,,,,,,,
4256135160951556480,,,,,,,,
4263752921128319616,,,,,,,,
427224073427887360,,,,,,,,
4285511294172309504,,,,,,,,
4287832775526476800,,,,,,,,
4334991786994866304,,,,,,,,
4439085988769170432,,,,,,,,
4453211899986180352,,,,,,,,
4477340334766250496,,,,,,,,
4534144923690481408,,,,,,,,
4558177980124887936,,,,,,,,
457317534880081152,,,,,,,,
4583004815239650176,,,,,,,,
4596481632339898240,,,,,,,,
4606030169272920320,,,,,,,,
4608935250790855296,,,,,,,,
4613145315172329984,,,,,,,,
4620574887039870720,,,,,,,,
4624979393181971328,,,,,,,,
4668163021600295552,,,,,,,,
4684513614202233728,,,,,,,,
4698692748651744128,,,,,,,,
470650560779277952,,,,,,,,
4707634458245031552,,,,,,,,
4727755005637190016,,,,,,,,
4745660479479743488,,,,,,,,
4746157737910069888,,,,,,,,
4747624104168195072,,,,,,,,
4756649415309914240,,,,,,,,
4837286842168217088,,,,,,,,
4864759888238232320,,,,,,,,
4886243456388510720,,,,,,,,
4895489043507741440,,,,,,,,
4911563216311083392,,,,,,,,
4917441922731087488,,,,,,,,
4968289907406396160,,,,,,,,
497750842338402560,,,,,,,,
4990044668377961984,,,,,,,,
4994237247949280000,,,,,,,,
5001098681543159040,,,,,,,,
5019835424832215424,,,,,,,,
5057924844082070016,,,,,,,,
5065640460769428224,,,,,,,,
5086537022856406272,,,,,,,,
5089851638095503616,,,,,,,,
5175239363214344960,,,,,,,,
5227928170880093568,,,,,,,,
5241964708164136192,,,,,,,,
5242077854771196544,,,,,,,,
5253607539857229568,,,,,,,,
5262666416118954368,,,,,,,,
5284358990266469760,,,,,,,,
5288681857665822080,,,,,,,,
5305241494923209856,,,,,,,,
5337273743301313536,,,,,,,,
5337294049909975680,,,,,,,,
534988616816537728,,,,,,,,
5351820556994135296,,,,,,,,
5357465071731312768,,,,,,,,
5376137837173646208,,,,,,,,
5385076140853434752,,,,,,,,
5401743332678544640,,,,,,,,
5409268527708808320,,,,,,,,
5411736896952029568,,,,,,,,
5444147952811517696,,,,,,,,
5453063823882876032,,,,,,,,
545560867790611072,,,,,,,,
5509620021956148736,,,,,,,,
5545555570947605376,,,,,,,,
5557345496687437696,,,,,,,,
5560886336446650240,,,,,,,,
5574766468155514752,,,,,,,,
5580554052549277056,,,,,,,,
5656184406542140032,,,,,,,,
5664814198431308288,,,,,,,,
5664957444179338240,,,,,,,,
5674618444832114304,,,,,,,,
570653411060484480,,,,,,,,
5710154317045164416,,,,,,,,
5723638723350902400,,,,,,,,
5723772524469252096,,,,,,,,
5738284016370287616,,,,,,,,
5746824674801810816,,,,,,,,
5751177095877066496,,,,,,,,
5795534040654879744,,,,,,,,
58200934326315136,,,,,,,,
5880886001621564928,,,,,,,,
5902750168276592256,,,,,,,,
596931979481073152,,,,,,,,
6003809889735481856,,,,,,,,
602494855483616256,,,,,,,,
6032746832450438400,,,,,,,,
6042793005779654656,,,,,,,,
6086712585429729536,,,,,,,,
6112606840179716096,,,,,,,,
6125644402384918784,,,,,,,,
6154982877300947840,,,,,,,,
61607255708760960,,,,,,,,
6160877943251930368,,,,,,,,
6171009049549197824,,,,,,,,
6173435259395017344,,,,,,,,
6173451477191225984,,,,,,,,
6186950525042445824,,,,,,,,
6198312362812872320,,,,,,,,
6239410080231903488,,,,,,,,
6255655673768103168,,,,,,,,
6257625719430982016,,,,,,,,
6258364939144564992,,,,,,,,
6258810550587404672,,,,,,,,
6264513270727342080,,,,,,,,
6283723285046532864,,,,,,,,
6284007337003799552,,,,,,,,
6347643496607835520,,,,,,,,
6386751579018596864,,,,,,,,
6407428994690988928,,,,,,,,
6411096106487783296,,,,,,,,
6453566701615683456,,,,,,,,
646125297938578944,,,,,,,,
6482103014085857024,,,,,,,,
6491038642006989056,,,,,,,,
6492940453524576128,,,,,,,,
6518399301667782016,,,,,,,,
651935220461650560,,,,,,,,
6533307957785865856,,,,,,,,
6534414719318886144,,,,,,,,
6541360574788758016,,,,,,,,
6552346035980010624,,,,,,,,
6582435924022652672,,,,,,,,
6675883485986480256,,,,,,,,
6677909439240233472,,,,,,,,
6683371847364921088,,,,,,,,
6710517793025165696,,,,,,,,
6801474136516893184,,,,,,,,
684992690384102528,,,,,,,,
6857756246957592320,,,,,,,,
6868476691490044672,,,,,,,,
6910753016653587840,,,,,,,,
702295464353437952,,,,,,,,
770622651659107712,,,,,,,,
869913435026514688,,,,,,,,
876608292608416512,,,,,,,,
898130030131443584,,,,,,,,
920308932010648448,,,,,,,,
990291507088739072,,,,,,,,
